wall_time_unix_sec,elapsed_sec,ros_time_sec,event,logger_queue_overflow,control_dt_sec,target_position_x,target_position_y,target_position_z,current_position_x,current_position_y,current_position_z,position_error_x,position_error_y,position_error_z,target_velocity_x,target_velocity_y,target_velocity_z,current_velocity_x,current_velocity_y,current_velocity_z,velocity_error_x,velocity_error_y,velocity_error_z,body_command_x,body_command_y,body_command_z,yaw,yaw_rate,yaw_command,motor1_command,motor2_command,motor3_command,motor4_command,motor5_command,motor6_command
1786021255.129466772,42.450440967,0.000000000,TARGET_UPDATED,0,0.050000000,1.000000000,1.000000000,1.000000000,0.000303760,-0.000000000,-0.091065876,0.999696240,1.000000000,1.091065876,1.499540717,1.500000000,1.500003641,0.000004036,-0.000000000,-0.002703796,1.499536682,1.500000000,1.502707437,197.278537011,262.373564710,111.000000000,0.000000000,0.000000000,0.000000000,-114.913025430,16.273756925,-16.273756925,114.913025430,-55.500000000,-55.500000000
1786021255.179374695,42.500348718,0.000000000,NONE,0,0.049906817,1.000000000,1.000000000,1.000000000,0.012213884,0.015650415,-0.081921592,0.987786116,0.984349585,1.081921592,1.487471974,1.501157567,1.469506890,0.501499601,0.657065330,0.371261183,0.985972373,0.844092237,1.098245707,154.479103780,210.163603212,79.837833809,-0.002894840,-0.119544386,1.427319966,-91.517506739,14.277954849,-13.564294866,90.803846756,-39.918916904,-39.918916904
1786021255.229386330,42.550360320,0.000000000,NONE,0,0.049996334,1.000000000,1.000000000,1.000000000,0.042355975,0.053274604,-0.061262142,0.957644025,0.946725396,1.061262142,1.454274102,1.485217579,1.417497955,0.887093553,1.105084341,0.514618753,0.567180548,0.380133238,0.902879201,126.621002803,182.552275722,70.381470441,-0.009837988,-0.184570552,2.634017219,-77.951823936,14.641322534,-13.324313925,76.634815327,-35.190735221,-35.190735221
1786021255.279555082,42.600529197,0.000000000,NONE,0,0.049995426,1.000000000,1.000000000,1.000000000,0.084036084,0.101878756,-0.038151090,0.915963916,0.898121244,1.038151090,1.404226363,1.447529157,1.373111033,1.115043934,1.317421675,0.455848852,0.289182429,0.130107482,0.917262181,105.939683102,163.366911545,75.606511036,-0.018453689,-0.199095885,3.470371848,-68.194241624,15.224400073,-13.489214149,66.459055700,-37.803255518,-37.803255518
1786021255.329448462,42.650422657,0.000000000,NONE,0,0.050021883,1.000000000,1.000000000,1.000000000,0.132024701,0.154546246,-0.018103570,0.867975299,0.845453754,1.018103570,1.343840369,1.395665843,1.341491540,1.221940680,1.384882857,0.307695177,0.121899689,0.010782986,1.033796363,90.205777603,147.528905670,85.831738154,-0.027020089,-0.183112541,3.998553575,-60.433309212,15.330420411,-13.331143623,58.434032424,-42.915869077,-42.915869077
1786021255.379398108,42.700372234,0.000000000,NONE,0,0.049988351,1.000000000,1.000000000,1.000000000,0.182528325,0.207511299,-0.001699556,0.817471675,0.792488701,1.001699556,1.279150229,1.335559728,1.321637634,1.249103446,1.377429814,0.204081209,0.030046783,-0.041870087,1.117556425,78.107523995,133.126917376,91.068802386,-0.034438791,-0.148266117,4.247028564,-53.870367484,14.816605486,-12.693091204,51.746853202,-45.534401193,-45.534401193
1786021255.429374933,42.750349190,0.000000000,NONE,0,0.050000735,1.000000000,1.000000000,1.000000000,0.233335947,0.259111431,0.012615000,0.766664053,0.740888569,0.987385000,1.212528596,1.269291224,1.292213777,1.235508125,1.337846352,0.142217967,-0.022979529,-0.068555128,1.149995811,67.783454283,118.822124527,92.341496315,-0.040199093,-0.105906066,4.288272195,-47.723462751,13.831735610,-11.687599513,45.579326654,-46.170748157,-46.170748157
1786021255.479321957,42.800295975,0.000000000,NONE,0,0.049969163,1.000000000,1.000000000,1.000000000,0.283215166,0.308660187,0.025511878,0.716784834,0.691339813,0.974488122,1.147220609,1.200434782,1.269211353,1.200123987,1.282894739,0.099115087,-0.052903378,-0.082459957,1.170096266,59.096641269,105.215921230,93.531241597,-0.044086896,-0.060369974,4.148341465,-42.115225991,12.566905357,-10.492734624,40.041055258,-46.765620799,-46.765620799
1786021255.530031681,42.851005781,0.000000000,NONE,0,0.050646971,1.000000000,1.000000000,1.000000000,0.343142301,0.367222816,0.039967066,0.656857699,0.632777184,0.960032934,1.069640921,1.113180512,1.249857983,1.140539446,1.204835603,0.061711124,-0.070898525,-0.091655091,1.188146859,50.054337202,89.296399571,94.779014152,-0.046163892,-0.001596853,3.731446098,-35.770545718,10.743377116,-8.877654068,33.904822669,-47.389507076,-47.389507076
1786021255.579329729,42.900304012,0.000000000,NONE,0,0.049331548,1.000000000,1.000000000,1.000000000,0.388602730,0.411146465,0.050407535,0.611397270,0.588853535,0.949592465,1.011527077,1.043588441,1.240108179,1.082978498,1.131374297,0.042955477,-0.071451422,-0.087785856,1.197152702,44.593923558,78.290102892,95.265109072,-0.045616261,0.043470671,3.241461052,-31.531371876,9.234410096,-7.613679571,29.910641350,-47.632554536,-47.632554536
