wall_time_unix_sec,elapsed_sec,ros_time_sec,event,logger_queue_overflow,control_dt_sec,target_position_x,target_position_y,target_position_z,current_position_x,current_position_y,current_position_z,position_error_x,position_error_y,position_error_z,target_velocity_x,target_velocity_y,target_velocity_z,current_velocity_x,current_velocity_y,current_velocity_z,velocity_error_x,velocity_error_y,velocity_error_z,body_command_x,body_command_y,body_command_z,yaw,yaw_rate,yaw_command,motor1_command,motor2_command,motor3_command,motor4_command,motor5_command,motor6_command
1786024395.871967316,27.850458238,0.000000000,TARGET_UPDATED,0,0.050000000,0.000000000,-3.000000008,0.000000000,0.000119232,-0.000000000,-0.091721454,-0.000119232,-3.000000008,0.091721454,-0.000117872,-2.999999998,0.137582182,0.000004597,-0.000000000,0.003921659,-0.000122469,-2.999999998,0.133660524,-0.007351857,-450.000000000,20.359578165,0.000000000,0.000000000,0.000000000,112.501837964,-112.498162036,112.498162036,-112.501837964,-10.179789082,-10.179789082
1786024395.921906710,27.900397563,0.000000000,NONE,0,0.049925885,0.000000000,-3.000000008,0.000000000,0.000145528,-0.026370083,-0.089508184,-0.000145528,-2.973629925,0.089508185,-0.014736179,-3.002132723,0.070769455,-0.002704283,-1.088305731,0.068783500,-0.012031896,-1.913826993,0.001985954,-0.971118537,-450.000000000,8.505007100,0.004862687,0.203451655,-2.424017067,113.348783901,-112.863224633,111.651216099,-112.136775367,-4.252503550,-4.252503550
1786024395.971872568,27.950363486,0.000000000,NONE,0,0.049956653,0.000000000,-3.000000008,0.000000000,0.000409690,-0.110302294,-0.082901285,-0.000409690,-2.889697714,0.082901285,-0.062587714,-3.001586074,-0.045024645,-0.029604646,-1.976799356,0.040430622,-0.032983067,-1.024786718,-0.085455267,-2.586366456,-450.000000000,3.269045988,0.020693806,0.371821381,-5.376271426,114.490659470,-113.197476242,110.509340530,-111.802523758,-1.634522994,-1.634522994
1786024396.021995783,28.000486791,0.000000000,NONE,0,0.050017970,0.000000000,-3.000000008,0.000000000,0.000901415,-0.219893562,-0.076303827,-0.000901415,-2.780106446,0.076303827,-0.123373731,-2.997042171,-0.124969062,-0.079498181,-2.290692890,-0.069813876,-0.043875550,-0.706349280,-0.055155186,-3.578639022,-450.000000000,7.744798093,0.040724998,0.405934657,-7.323973495,115.225653129,-113.436333618,109.774346871,-111.563666382,-3.872399046,-3.872399046
1786024396.072003365,28.050494301,0.000000000,TARGET_UPDATED,0,0.050114658,0.000000000,-4.000000008,0.000000000,0.001274844,-0.337826962,-0.073080732,-0.001274844,-3.662173046,0.073080732,-0.181919235,-2.991661295,-0.169955501,-0.134641804,-2.378450496,-0.185496818,-0.047277431,-0.613210799,0.015541317,-4.486690588,-450.000000000,13.498853859,0.060167427,0.374773252,-8.573784344,115.765118733,-113.521773439,109.234881267,-111.478226561,-6.749426930,-6.749426930
1786024396.122013807,28.100504638,0.000000000,NONE,0,0.049983200,0.000000000,-4.000000008,0.000000000,0.001312168,-0.458412085,-0.073118195,-0.001312168,-3.541587923,0.073118195,-0.233476249,-2.986917811,-0.189314401,-0.185925927,-2.401275715,-0.258937213,-0.047550322,-0.585642095,0.069622813,-5.463490587,-450.000000000,16.957596947,0.077287415,0.323456847,-9.437945435,116.225359006,-113.493613712,108.774640994,-111.506386288,-8.478798474,-8.478798474
1786024396.171860695,28.150351625,0.000000000,NONE,0,0.049891595,0.000000000,-4.000000008,0.000000000,0.000927454,-0.579966374,-0.074800562,-0.000927454,-3.420033634,0.074800562,-0.276435951,-2.983346940,-0.189243833,-0.230972553,-2.408232365,-0.283034744,-0.045463398,-0.575114575,0.093790911,-6.337114364,-450.000000000,18.054122268,0.091668458,0.268183843,-10.044845803,116.595490042,-113.426932860,108.404509958,-111.573067140,-9.027061134,-9.027061134
1786024396.221897840,28.200388836,0.000000000,NONE,0,0.050014736,0.000000000,-4.000000008,0.000000000,0.000093202,-0.701941659,-0.076697680,-0.000093202,-3.298058349,0.076697680,-0.310689108,-2.981112977,-0.172259678,-0.269267291,-2.412023298,-0.269916770,-0.041421817,-0.569089679,0.097657092,-7.016051534,-450.000000000,17.920085737,0.103297368,0.213674467,-10.440397626,116.864112290,-113.356086523,108.135887710,-111.643913477,-8.960042869,-8.960042869
1786024396.271912098,28.250403175,0.000000000,NONE,0,0.050034549,0.000000000,-4.000000008,0.000000000,-0.001176944,-0.824131569,-0.078100892,0.001176944,-3.175868439,0.078100892,-0.336609570,-2.979906149,-0.143449557,-0.300559354,-2.415116889,-0.237080824,-0.036050216,-0.564789260,0.093631267,-7.468502602,-450.000000000,17.482858570,0.112313693,0.162213422,-10.658332316,117.031708729,-113.297457428,107.968291271,-111.702542572,-8.741429285,-8.741429285
1786024396.321904659,28.300395588,0.000000000,NONE,0,0.049963333,0.000000000,-4.000000008,0.000000000,-0.002842593,-0.946444605,-0.078859456,0.002842593,-3.053555403,0.078859456,-0.354748265,-2.979291527,-0.109398349,-0.324870546,-2.417477733,-0.198544246,-0.029877719,-0.561813794,0.089145897,-7.680943505,-450.000000000,17.161797402,0.118908045,0.114637171,-10.722000022,117.100735882,-113.260264129,107.899264118,-111.739735871,-8.580898701,-8.580898701
1786024396.371931553,28.350422545,0.000000000,NONE,0,0.050041622,0.000000000,-4.000000008,0.000000000,-0.004844733,-1.068833496,-0.079100199,0.004844733,-2.931166512,0.079100199,-0.365760845,-2.979051889,-0.074476452,-0.342388541,-2.419138547,-0.161978457,-0.023372303,-0.559913341,0.087502004,-7.663261030,-450.000000000,17.105837015,0.123299274,0.071689755,-10.656164425,117.079856364,-113.248225849,107.920143636,-111.751774151,-8.552918507,-8.552918507
1786024396.422007561,28.400498526,0.000000000,NONE,0,0.049987813,0.000000000,-4.000000008,0.000000000,-0.007113734,-1.191271096,-0.079039985,0.007113734,-2.808728912,0.079039985,-0.370395519,-2.979127795,-0.040757936,-0.353550931,-2.420347991,-0.130218591,-0.016844589,-0.558779803,0.089460654,-7.434192662,-450.000000000,17.317211548,0.125732953,0.034054492,-10.487076350,116.980317253,-113.263220922,108.019682747,-111.736779078,-8.658605774,-8.658605774
1786024396.471959591,28.450450673,0.000000000,TARGET_UPDATED,0,0.050071692,0.000000000,-5.000000008,0.000000000,-0.009573842,-1.313736671,-0.078872365,0.009573842,-3.686263337,0.078872365,-0.372396424,-2.979133293,-0.009090641,-0.358962183,-2.421321434,-0.103206360,-0.013434241,-0.557811858,0.094115719,-7.363285652,-450.000000000,17.699207795,0.126491745,0.002598191,-10.245883961,116.902292403,-113.220649577,108.097707597,-111.779350423,-8.849603897,-8.849603897
1786024396.521985292,28.500476128,0.000000000,NONE,0,0.049908461,0.000000000,-5.000000008,0.000000000,-0.012169013,-1.436212743,-0.078718982,0.012169013,-3.563787266,0.078718982,-0.368069030,-2.979606926,0.020255455,-0.360297568,-2.422163520,-0.079819240,-0.007771462,-0.557443406,0.100074695,-6.825500810,-450.000000000,18.145263481,0.125901014,-0.021666237,-9.968548304,116.698512279,-113.285761874,108.301487721,-111.714238126,-9.072631741,-9.072631741
1786024396.571905613,28.550396425,0.000000000,NONE,0,0.050022958,0.000000000,-5.000000008,0.000000000,-0.014857467,-1.558683862,-0.078624963,0.014857467,-3.441316146,0.078624963,-0.360584050,-2.980212862,0.047113483,-0.357918785,-2.422890975,-0.058825666,-0.002665264,-0.557321887,0.105939149,-6.270405032,-450.000000000,18.556262092,0.124355956,-0.037215952,-9.701887802,116.493073208,-113.357870693,108.506926792,-111.642129307,-9.278131046,-9.278131046
1786024396.621867418,28.600358540,0.000000000,NONE,0,0.049959968,0.000000000,-5.000000008,0.000000000,-0.017568798,-1.681133624,-0.078579292,0.017568798,-3.318866384,0.078579292,-0.351281584,-2.980839288,0.071354556,-0.352890815,-2.423487943,-0.039441999,0.001609231,-0.557351345,0.110796555,-5.714511172,-450.000000000,18.879038922,0.122292693,-0.044022795,-9.480977798,116.298872242,-113.441616656,108.701127758,-111.558383344,-9.439519461,-9.439519461
1786024396.671887159,28.650378060,0.000000000,NONE,0,0.050013696,0.000000000,-5.000000008,0.000000000,-0.020246739,-1.803552414,-0.078545113,0.020246739,-3.196447594,0.078545113,-0.341363349,-2.981397813,0.092839356,-0.346443749,-2.423950540,-0.021476360,0.005080400,-0.557447273,0.114315716,-5.194548644,-450.000000000,19.101376848,0.120102055,-0.043597723,-9.321991027,116.129134918,-113.531860596,108.870865082,-111.468139404,-9.550688424,-9.550688424
1786024396.721901894,28.700392744,0.000000000,NONE,0,0.050002863,0.000000000,-5.000000008,0.000000000,-0.022844557,-1.925937086,-0.078486152,0.022844557,-3.074062922,0.078486152,-0.331758627,-2.981841368,0.111438058,-0.339513024,-2.424294573,-0.005187349,0.007754398,-0.557546795,0.116625407,-4.741427264,-450.000000000,19.241798303,0.118083857,-0.037996672,-9.228354704,115.992445492,-113.621731860,109.007554508,-111.378268140,-9.620899151,-9.620899151
1786024396.771958113,28.750449024,0.000000000,NONE,0,0.050019342,0.000000000,-5.000000008,0.000000000,-0.025327930,-2.048289827,-0.078386165,0.025327930,-2.951710182,0.078386165,-0.323056244,-2.982166277,0.127058406,-0.332839314,-2.424548784,0.008867356,0.009783070,-0.557617493,0.118191049,-4.360541125,-450.000000000,19.339458714,0.116425784,-0.029517018,-9.192152474,115.888173400,-113.707902837,109.111826600,-111.292097163,-9.669729357,-9.669729357
1786024396.821921349,28.800412279,0.000000000,NONE,0,0.049993964,0.000000000,-5.000000008,0.000000000,-0.027672944,-2.170615582,-0.078255256,0.027672944,-2.829384426,0.078255256,-0.315546831,-2.982398892,0.139663120,-0.326848101,-2.424740514,0.020095307,0.011301270,-0.557658378,0.119567813,-4.050589292,-450.000000000,19.435058876,0.115218372,-0.019964330,-9.202606841,115.813299033,-113.788004387,109.186700967,-111.211995613,-9.717529438,-9.717529438
1786024396.871994257,28.850485271,0.000000000,TARGET_UPDATED,0,0.050098446,0.000000000,-6.000000008,0.000000000,-0.029863727,-2.292919687,-0.078123804,0.029863727,-3.707080321,0.078123804,-0.318161876,-2.981646809,0.149291045,-0.321737396,-2.424887690,0.028204058,0.003575519,-0.556759119,0.121086988,-4.777678284,-450.000000000,19.547219439,0.114475993,-0.010722841,-9.247101552,116.006194959,-113.617355817,108.993805041,-111.382644183,-9.773609720,-9.773609720
1786024396.921927214,28.900418267,0.000000000,NONE,0,0.049912407,0.000000000,-6.000000008,0.000000000,-0.031955812,-2.415213926,-0.078021759,0.031955812,-3.584786082,0.078021759,-0.314360002,-2.981704820,0.155919190,-0.320127761,-2.424998134,0.033332663,0.005767759,-0.556706686,0.122586527,-4.333149126,-450.000000000,19.654966133,0.114155626,-0.002806882,-9.312027378,115.911294126,-113.744719563,109.088705874,-111.255280437,-9.827483067,-9.827483067
1786024396.971956968,28.950447979,0.000000000,NONE,0,0.050048022,0.000000000,-6.000000008,0.000000000,-0.034016213,-2.537509074,-0.077965184,0.034016213,-3.462490934,0.077965184,-0.311465219,-2.981812286,0.159567202,-0.319013270,-2.425068965,0.035783935,0.007548051,-0.556743321,0.123783266,-4.148070461,-450.000000000,19.735703809,0.114176642,0.003188166,-9.385087762,115.883289556,-113.809254325,109.116710444,-111.190745675,-9.867851904,-9.867851904
1786024397.021884918,29.000375908,0.000000000,NONE,0,0.049903007,0.000000000,-6.000000008,0.000000000,-0.036002214,-2.659801169,-0.077953415,0.036002214,-3.340198839,0.077953415,-0.309194683,-2.982011913,0.160238106,-0.317972599,-2.425096861,0.035857078,0.008777916,-0.556915052,0.124381028,-4.017759709,-450.000000000,19.768717225,0.114435869,0.006957443,-9.454940051,115.868174940,-113.859295085,109.131825060,-111.140704915,-9.884358613,-9.884358613
1786024397.071872950,29.050364035,0.000000000,NONE,0,0.050010816,0.000000000,-6.000000008,0.000000000,-0.037898621,-2.782087206,-0.077974904,0.037898621,-3.217912802,0.077974904,-0.307217840,-2.982337769,0.157983611,-0.317011715,-2.425069779,0.033745833,0.009793875,-0.557267990,0.124237778,-3.902757602,-450.000000000,19.746953497,0.114821430,0.008483846,-9.512533609,115.853822803,-113.902444002,109.146177197,-111.097555998,-9.873476749,-9.873476749
1786024397.121890783,29.100381795,0.000000000,NONE,0,0.050004951,0.000000000,-6.000000008,0.000000000,-0.039694674,-2.904362512,-0.078016150,0.039694674,-3.095637496,0.078016150,-0.305223649,-2.982797350,0.153144250,-0.315907893,-2.424976209,0.029693612,0.010684244,-0.557821141,0.123450638,-3.793315075,-450.000000000,19.682063491,0.115229857,0.008088376,-9.552777182,115.836523064,-113.939865527,109.163476936,-111.060134473,-9.841031746,-9.841031746
1786024397.171880722,29.150371821,0.000000000,NONE,0,0.050005870,0.000000000,-6.000000008,0.000000000,-0.041380894,-3.026621645,-0.078067094,0.041380894,-2.973378363,0.078067094,-0.302975045,-2.983370999,0.146342623,-0.314485491,-2.424821791,0.024114030,0.011510446,-0.558549208,0.122228593,-3.679498442,-450.000000000,19.590879595,0.115583703,0.006388629,-9.575647123,115.813786391,-113.974037170,109.186213609,-111.025962830,-9.795439798,-9.795439798
1786024397.221875429,29.200366431,0.000000000,NONE,0,0.049975467,0.000000000,-6.000000008,0.000000000,-0.042947310,-3.148859506,-0.078122268,0.042947310,-2.851140502,0.078122268,-0.300312374,-2.984026024,0.138322504,-0.312598707,-2.424624122,0.017526379,0.012286333,-0.559401902,0.120796125,-3.557004935,-450.000000000,19.489399825,0.115832222,0.003929450,-9.582514407,115.784879836,-114.006377368,109.215120164,-110.993622632,-9.744699912,-9.744699912
1786024397.272054195,29.250545255,0.000000000,TARGET_UPDATED,0,0.050091949,0.000000000,-7.000000008,0.000000000,-0.044382707,-3.271071922,-0.078179900,0.044382707,-3.728928086,0.078179900,-0.310162321,-2.983397618,0.129962317,-0.310156604,-2.424404677,0.010471577,-0.000005717,-0.558992941,0.119490740,-4.842295730,-450.000000000,19.403619351,0.115949996,0.001207013,-9.576328293,116.104656006,-113.683508141,108.895343994,-111.316491859,-9.701809676,-9.701809676
1786024397.321898699,29.300389735,0.000000000,NONE,0,0.049947034,0.000000000,-7.000000008,0.000000000,-0.045783893,-3.393268567,-0.078239598,0.045783893,-3.606731441,0.078239598,-0.307875103,-2.983991965,0.121565223,-0.311223857,-2.424183902,0.003490532,0.003348754,-0.559808063,0.118074691,-4.260959390,-450.000000000,19.305153402,0.115933860,-0.001374562,-9.560802745,115.955440534,-113.824960839,109.044559466,-111.175039161,-9.652576701,-9.652576701
1786024397.371870279,29.350361325,0.000000000,NONE,0,0.049988279,0.000000000,-7.000000008,0.000000000,-0.047220365,-3.515456877,-0.078300821,0.047220365,-3.484543131,0.078300822,-0.305086929,-2.984588680,0.113785626,-0.310714467,-2.423975571,-0.003059281,0.005627538,-0.560613109,0.116844907,-4.064137182,-450.000000000,19.225738524,0.115798095,-0.003509799,-9.540166241,115.901075856,-113.869007265,109.098924144,-111.130992735,-9.612869262,-9.612869262
1786024397.421881437,29.400372317,0.000000000,NONE,0,0.049977069,0.000000000,-7.000000008,0.000000000,-0.048615115,-3.637628130,-0.078361347,0.048615115,-3.362371878,0.078361347,-0.301908867,-2.985165439,0.107025543,-0.309016051,-2.423792373,-0.008755855,0.007107184,-0.561373065,0.115781398,-3.899135874,-450.000000000,19.157507564,0.115569511,-0.005020768,-9.518321494,115.854364342,-113.904796405,109.145635658,-111.095203595,-9.578753782,-9.578753782
1786024397.471940279,29.450431349,0.000000000,NONE,0,0.050043963,0.000000000,-7.000000008,0.000000000,-0.049935314,-3.759779333,-0.078415338,0.049935314,-3.240220675,0.078415338,-0.298439749,-2.985707884,0.101574209,-0.306576959,-2.423641255,-0.013285416,0.008137210,-0.562066629,0.114859625,-3.746802125,-450.000000000,19.098718202,0.115281294,-0.005854930,-9.498460843,115.811315742,-113.937914679,109.188684258,-111.062085321,-9.549359101,-9.549359101
1786024397.521893978,29.500384757,0.000000000,NONE,0,0.049983117,0.000000000,-7.000000008,0.000000000,-0.051155093,-3.881908746,-0.078456450,0.051155093,-3.118091262,0.078456450,-0.294775758,-2.986205705,0.097634117,-0.303587249,-2.423526692,-0.016479805,0.008811490,-0.562679013,0.114113921,-3.609530383,-450.000000000,19.052870940,0.114967071,-0.006063186,-9.482733269,115.773065913,-113.968300721,109.226934087,-111.031699279,-9.526435470,-9.526435470
1786024397.571907043,29.550398045,0.000000000,NONE,0,0.049999086,0.000000000,-7.000000008,0.000000000,-0.052253310,-4.004015533,-0.078480669,0.052253310,-2.995984475,0.078480669,-0.290998566,-2.986651753,0.095338216,-0.300216152,-2.423451238,-0.018273413,0.009217585,-0.563200515,0.113611629,-3.484752797,-450.000000000,19.025423808,0.114656319,-0.005766780,-9.472302582,115.739263845,-113.996887446,109.260736155,-111.003112554,-9.512711904,-9.512711904
