wall_time_unix_sec,elapsed_sec,ros_time_sec,event,logger_queue_overflow,control_dt_sec,target_position_x,target_position_y,target_position_z,current_position_x,current_position_y,current_position_z,position_error_x,position_error_y,position_error_z,target_velocity_x,target_velocity_y,target_velocity_z,current_velocity_x,current_velocity_y,current_velocity_z,velocity_error_x,velocity_error_y,velocity_error_z,body_command_x,body_command_y,body_command_z,yaw,yaw_rate,yaw_command,motor1_command,motor2_command,motor3_command,motor4_command,motor5_command,motor6_command
1786022542.403614044,28.250300278,0.000000000,TARGET_UPDATED,0,0.050000000,0.500000000,-2.500000000,-0.500000000,0.000137105,-0.000000000,-0.090478285,0.499862895,-2.500000000,-0.409521715,0.588190543,-2.941773049,-0.614285190,0.000003956,-0.000000000,0.010917750,0.588186587,-2.941773049,-0.625202940,51.810050011,-450.000000000,-32.779835852,0.000000000,0.000000000,0.000000000,95.220878891,-120.000000000,120.000000000,-95.220878891,16.389917926,16.389917926
1786022542.453574657,28.300261229,0.000000000,NONE,0,0.049961040,0.500000000,-2.500000000,-0.500000000,0.003683374,-0.031679919,-0.093277369,0.496316626,-2.468320081,-0.406722631,0.565279398,-2.930745882,-0.680727699,0.133330410,-1.167393068,-0.136264532,0.431948988,-1.763352814,-0.544463167,38.058700244,-450.000000000,-25.525598008,0.008422463,0.269453840,-3.369177011,101.413166649,-120.000000000,118.354585647,-99.767752296,12.762799004,12.762799004
1786022542.503645182,28.350331746,0.000000000,TARGET_UPDATED,0,0.050057056,0.500000000,-3.500000000,-0.500000000,0.015251559,-0.117445072,-0.101249623,0.484748441,-3.382554928,-0.398750377,0.344333601,-2.940359665,-0.770372381,0.236985752,-1.980901435,-0.294163099,0.107347848,-0.959458230,-0.476209282,5.640514200,-450.000000000,-21.012277848,0.025974384,0.382422339,-5.905616141,112.566275485,-115.386532585,112.433724515,-109.613467415,10.506138924,10.506138924
1786022542.553606033,28.400292588,0.000000000,NONE,0,0.049949397,0.500000000,-3.500000000,-0.500000000,0.031050987,-0.227687054,-0.111410133,0.468949013,-3.272312946,-0.388589867,0.282123123,-2.930119964,-0.821314941,0.220040611,-2.293159283,-0.394902011,0.062082511,-0.636960681,-0.426412930,6.645405303,-450.000000000,-17.903768471,0.045932711,0.390580910,-7.588456621,112.735762829,-116.058465481,112.264237171,-108.941534519,8.951884236,8.951884236
1786022542.603622913,28.450309355,0.000000000,NONE,0,0.050015063,0.500000000,-3.500000000,-0.500000000,0.047909306,-0.346264635,-0.122258526,0.452090694,-3.153735365,-0.377741474,0.224219750,-2.927348447,-0.837499831,0.190345400,-2.387592324,-0.436538769,0.033874350,-0.539756123,-0.400961062,3.897354266,-450.000000000,-16.620216740,0.064756426,0.353537636,-8.730398608,113.708261085,-115.656938219,111.291738915,-109.343061781,8.310108370,8.310108370
1786022542.653679132,28.500365553,0.000000000,NONE,0,0.050033995,0.500000000,-3.500000000,-0.500000000,0.061989667,-0.442900229,-0.130915411,0.438010333,-3.057099771,-0.369084589,0.183213281,-2.930034957,-0.829355634,0.165003954,-2.411915399,-0.441593021,0.018209327,-0.518119558,-0.387762613,2.411800608,-450.000000000,-15.951120399,0.078085962,0.311421697,-9.383416007,114.242903850,-115.448804154,110.757096150,-109.551195846,7.975560199,7.975560199
1786022542.703511477,28.550197973,0.000000000,NONE,0,0.049874171,0.500000000,-3.500000000,-0.500000000,0.083616436,-0.588519758,-0.143699733,0.416383564,-2.911480242,-0.356300267,0.131439380,-2.941496740,-0.784829820,0.130456962,-2.424494612,-0.420653162,0.000982417,-0.517002128,-0.364176657,0.568750454,-450.000000000,-14.100065378,0.094914616,0.252453048,-10.149489408,114.895184739,-115.179559966,110.104815261,-109.820440034,7.050032689,7.050032689
1786022542.753699541,28.600385926,0.000000000,NONE,0,0.050086171,0.500000000,-3.500000000,-0.500000000,0.101802125,-0.709836666,-0.154236628,0.398197875,-2.790163334,-0.345763372,0.097701457,-2.953974515,-0.730398307,0.103374144,-2.428050749,-0.387389336,-0.005672687,-0.525923766,-0.343008971,0.013047507,-450.000000000,-12.677201237,0.105945777,0.198461281,-10.502677467,115.122407490,-115.128931243,109.877592510,-109.871068757,6.338600618,6.338600618
1786022542.803530455,28.650216907,0.000000000,NONE,0,0.049925659,0.500000000,-3.500000000,-0.500000000,0.119939640,-0.830927407,-0.164753862,0.380060360,-2.669072593,-0.335246138,0.072578879,-2.965733151,-0.672336687,0.081670430,-2.428904162,-0.352988495,-0.009091551,-0.536828989,-0.319348193,-0.331990398,-450.000000000,-10.977623723,0.114271401,0.147517598,-10.670700702,115.250672775,-115.084677576,109.749327225,-109.915322424,5.488811861,5.488811861
1786022542.853600979,28.700287523,0.000000000,TARGET_UPDATED,0,0.050077294,0.500000000,-4.500000000,-0.500000000,0.137978504,-0.951758297,-0.175320897,0.362021496,-3.548241703,-0.324679103,-0.063034329,-2.975962701,-0.613889112,0.065551574,-2.428583382,-0.320085180,-0.128585903,-0.547379319,-0.293803932,-10.263426249,-450.000000000,-9.160705493,0.120144854,0.101222934,-10.689663400,117.738272412,-112.606559288,107.261727588,-112.393440712,4.580352746,4.580352746
1786022542.903552294,28.750238637,0.000000000,NONE,0,0.049937034,0.500000000,-4.500000000,-0.500000000,0.155055421,-1.072452464,-0.185907018,0.344944579,-3.427547536,-0.314092982,-0.076385041,-2.983498226,-0.561138185,0.024141464,-2.427843826,-0.288637157,-0.100526504,-0.555654400,-0.272501028,-5.723072709,-450.000000000,-7.759807464,0.123839014,0.060224008,-10.587575250,116.577661990,-113.716125635,108.422338010,-111.283874365,3.879903732,3.879903732
1786022542.953588009,28.800274255,0.000000000,NONE,0,0.049984343,0.500000000,-4.500000000,-0.500000000,0.170701038,-1.193109688,-0.196451865,0.329298962,-3.306890312,-0.303548135,-0.082726922,-2.989575291,-0.512751540,-0.001458915,-2.427067917,-0.259864467,-0.081268008,-0.562507375,-0.252887072,-4.794335885,-450.000000000,-6.427344120,0.125672493,0.025253987,-10.397116679,116.297863141,-113.900695198,108.702136859,-111.099304802,3.213672060,3.213672060
