wall_time_unix_sec,elapsed_sec,ros_time_sec,event,logger_queue_overflow,control_dt_sec,target_position_x,target_position_y,target_position_z,current_position_x,current_position_y,current_position_z,position_error_x,position_error_y,position_error_z,target_velocity_x,target_velocity_y,target_velocity_z,current_velocity_x,current_velocity_y,current_velocity_z,velocity_error_x,velocity_error_y,velocity_error_z,body_command_x,body_command_y,body_command_z,yaw,yaw_rate,yaw_command,motor1_command,motor2_command,motor3_command,motor4_command,motor5_command,motor6_command
1786021445.165752649,68.250484126,0.000000000,TARGET_UPDATED,0,0.050000000,0.500000000,-2.500000000,0.409635601,0.000311826,-0.000000000,-0.090385104,0.499688174,-2.500000000,0.500020705,0.588003169,-2.941812570,0.750025109,0.000004617,-0.000000000,-0.001389456,0.587998552,-2.941812570,0.751414565,51.788249735,-450.000000000,63.617804911,0.000000000,0.000000000,0.000000000,95.230229199,-120.000000000,120.000000000,-95.230229199,-31.808902456,-31.808902456
1786021445.215556383,68.300288072,0.000000000,NONE,0,0.049824295,0.500000000,-2.500000000,0.409635601,0.003070005,-0.022978034,-0.085637699,0.496929995,-2.477021966,0.495273300,0.578798701,-2.957409915,0.686027588,0.119018216,-0.995631061,0.194884254,0.459780485,-1.961778854,0.491143334,41.020881585,-450.000000000,40.187272678,0.004241512,0.184759514,-2.187338728,100.038833144,-120.000000000,118.935619333,-98.974452477,-20.093636339,-20.093636339
1786021445.265538931,68.350270520,0.000000000,NONE,0,0.049994215,0.500000000,-2.500000000,0.409635601,0.013916220,-0.102401698,-0.069502461,0.486083780,-2.397598302,0.479138062,0.543774457,-2.985701830,0.553564639,0.243095786,-1.910972640,0.263160109,0.300678672,-1.074729190,0.290404531,28.997687784,-450.000000000,27.351356575,0.019418365,0.357166358,-5.127497067,105.624699384,-120.000000000,117.458096925,-103.082796309,-13.675678288,-13.675678288
1786021445.315896988,68.400628832,0.000000000,TARGET_UPDATED,0,0.050338641,0.500000000,-3.500000000,0.409635601,0.031075067,-0.208609119,-0.052314604,0.468924933,-3.291390881,0.461950205,0.314618518,-3.029739302,0.449266551,0.301145970,-2.260828839,0.124843267,0.013472548,-0.768910462,0.324423284,-0.141121730,-450.000000000,34.431873482,0.039560206,0.400868352,-7.179847045,114.330242194,-114.259681329,110.669757806,-110.740318671,-17.215936741,-17.215936741
1786021445.365534782,68.450266290,0.000000000,NONE,0,0.049670896,0.500000000,-3.500000000,0.409635601,0.051090806,-0.323954953,-0.041765870,0.448909194,-3.176045047,0.451401471,0.255157852,-3.041126153,0.380675178,0.263134693,-2.363482801,-0.087773954,-0.007976841,-0.677643352,0.468449132,2.229181194,-450.000000000,46.749121300,0.059657571,0.374975063,-8.534629903,114.076362177,-115.190952774,110.923637823,-109.809047226,-23.374560650,-23.374560650
1786021445.415545702,68.500277374,0.000000000,NONE,0,0.049986942,0.500000000,-3.500000000,0.409635601,0.070705122,-0.442302480,-0.039454169,0.429294878,-3.057697520,0.449089770,0.201930938,-3.049194272,0.339737891,0.208524225,-2.385564382,-0.272367693,-0.006593287,-0.663629890,0.612105585,1.610920992,-450.000000000,56.794648893,0.077511922,0.324050222,-9.461478723,114.462639433,-115.268099929,110.537360567,-109.731900071,-28.397324447,-28.397324447
1786021445.465562820,68.550294505,0.000000000,NONE,0,0.050015326,0.500000000,-3.500000000,0.409635601,0.090051059,-0.561637012,-0.042466814,0.409948941,-2.938362988,0.452102415,0.156874081,-3.055454577,0.315404798,0.162158281,-2.388655052,-0.368548929,-0.005284200,-0.666799525,0.683953727,0.916612693,-450.000000000,60.403765852,0.092565233,0.267521358,-10.109714368,114.798275419,-115.256581765,110.201724581,-109.743418235,-30.201882926,-30.201882926
1786021445.515559673,68.600291441,0.000000000,NONE,0,0.049978606,0.500000000,-3.500000000,0.409635601,0.108983183,-0.681273123,-0.046841880,0.391016817,-2.818726877,0.456477481,0.120378367,-3.060220643,0.298989917,0.122086617,-2.389442878,-0.389428894,-0.001708250,-0.670777765,0.688418812,0.693806157,-450.000000000,59.386342317,0.104743703,0.211347222,-10.532720472,114.959728579,-115.306631657,110.040271421,-109.693368343,-29.693171158,-29.693171158
1786021445.565556526,68.650288015,0.000000000,NONE,0,0.050020864,0.500000000,-3.500000000,0.409635601,0.127401527,-0.800943412,-0.050201427,0.372598473,-2.699056588,0.459837028,0.092273336,-3.063527280,0.286441871,0.089165538,-2.390568258,-0.373532014,0.003107798,-0.672959021,0.659973885,0.722469499,-450.000000000,56.753702509,0.114129405,0.157699712,-10.758519182,115.009012421,-115.370247170,109.990987579,-109.629752830,-28.376851254,-28.376851254
1786021445.615542889,68.700274531,0.000000000,NONE,0,0.049999454,0.500000000,-3.500000000,0.409635601,0.145300692,-0.920555965,-0.051855400,0.354699308,-2.579444035,0.461491001,0.072123829,-3.065508372,0.276853658,0.063468483,-2.391628063,-0.349267634,0.008655346,-0.673880309,0.626121292,0.912188815,-450.000000000,54.291275839,0.120879786,0.107788330,-10.811523743,114.974833732,-115.430928140,110.025166268,-109.569071860,-27.145637919,-27.145637919
1786021445.665600061,68.750331754,0.000000000,TARGET_UPDATED,0,0.050057009,0.500000000,-4.500000000,0.409635601,0.162720623,-1.040103042,-0.052082038,0.337279377,-3.459896958,0.461717639,-0.057829887,-3.066047249,0.275085666,0.044436736,-2.392167119,-0.330571541,-0.102266623,-0.673880130,0.605657207,-8.480241316,-450.000000000,53.142192271,0.125210031,0.062624483,-10.718840131,117.299770362,-113.059649704,107.700229638,-111.940350296,-26.571096135,-26.571096135
1786021445.715563059,68.800294657,0.000000000,NONE,0,0.049933629,0.500000000,-4.500000000,0.409635601,0.179102547,-1.159689631,-0.051502438,0.320897453,-3.340310369,0.461138039,-0.067529753,-3.065852485,0.272849647,0.005710103,-2.392189609,-0.319784335,-0.073239856,-0.673662876,0.592633982,-4.001251002,-450.000000000,52.393367544,0.127340903,0.023210218,-10.507884419,116.127283855,-114.126658354,108.872716145,-110.873341646,-26.196683772,-26.196683772
1786021445.765642405,68.850374221,0.000000000,TARGET_UPDATED,0,0.050094085,0.500000000,-4.500000000,0.448497562,0.193707963,-1.279454216,-0.050717636,0.306292037,-3.220545784,0.499215198,-0.068520693,-3.073370986,0.332312019,-0.024945825,-2.392040569,-0.316660219,-0.043574868,-0.681330417,0.648972239,-2.217996113,-450.000000000,57.738759966,0.127540122,-0.009290335,-10.211594444,115.607397639,-114.498399583,109.392602361,-110.501600417,-28.869379983,-28.869379983
