wall_time_unix_sec,elapsed_sec,ros_time_sec,event,logger_queue_overflow,control_dt_sec,target_position_x,target_position_y,target_position_z,current_position_x,current_position_y,current_position_z,position_error_x,position_error_y,position_error_z,target_velocity_x,target_velocity_y,target_velocity_z,current_velocity_x,current_velocity_y,current_velocity_z,velocity_error_x,velocity_error_y,velocity_error_z,body_command_x,body_command_y,body_command_z,yaw,yaw_rate,yaw_command,motor1_command,motor2_command,motor3_command,motor4_command,motor5_command,motor6_command
1786168419.490675211,41.850660738,0.000000000,TARGET_UPDATED,0,0.050000000,0.000000000,2.999999951,0.000000000,0.000193115,-0.000000000,-0.090941572,-0.000193115,2.999999951,0.090941572,-0.000192991,2.999999994,0.136412358,0.000001021,-0.000000000,0.000501463,-0.000194012,2.999999994,0.135910895,-0.011647337,450.000000000,20.517160435,0.000000000,0.000000000,0.000000000,-112.497088166,112.502911834,-112.502911834,112.497088166,-10.258580217,-10.258580217
1786168419.540628910,41.900614709,0.000000000,NONE,0,0.049921564,0.000000000,2.999999951,0.000000000,0.000219494,0.034061119,-0.088464849,-0.000219494,2.965938831,0.088464849,-0.019208144,3.002362426,0.055312527,-0.004785988,1.236143745,0.066218140,-0.014422156,1.766218681,-0.010905612,-1.168304778,450.000000000,7.298789036,-0.006326794,-0.234010650,2.846881687,-112.919644227,113.503796616,-112.080355773,111.496203384,-3.649394518,-3.649394518
1786168419.590655327,41.950640925,0.000000000,NONE,0,0.050012210,0.000000000,2.999999951,0.000000000,0.000460597,0.122622521,-0.082317166,-0.000460597,2.877377429,0.082317166,-0.068521926,3.001231505,-0.056217965,-0.035643512,2.036270860,0.014895732,-0.032878415,0.964960645,-0.071113697,-2.566910531,450.000000000,4.819520740,-0.022688191,-0.374186884,5.559825171,-113.248228660,114.531683926,-111.751771340,110.468316074,-2.409760370,-2.409760370
1786168419.640670538,42.000656124,0.000000000,NONE,0,0.050011438,0.000000000,2.999999951,0.000000000,0.000765553,0.210735004,-0.077557700,-0.000765553,2.789264946,0.077557700,-0.115695432,2.997686698,-0.118419670,-0.075818076,2.277179509,-0.068585707,-0.039877356,0.720507189,-0.049833963,-3.173314436,450.000000000,7.937221096,-0.038315398,-0.392182236,6.993787672,-113.455118309,115.041775527,-111.544881691,109.958224473,-3.968610548,-3.968610548
1786168419.690793514,42.050779165,0.000000000,TARGET_UPDATED,0,0.050159044,0.000000000,3.999999951,0.000000000,0.001023029,0.328313180,-0.074117950,-0.001023029,3.671686771,0.074117950,-0.173474145,2.992505591,-0.164855446,-0.130186081,2.375256183,-0.174122255,-0.043288064,0.617249407,0.009266809,-4.104128860,450.000000000,12.827277689,-0.057601878,-0.372943256,8.350094826,-113.561491491,115.613555922,-111.438508509,109.386444078,-6.413638845,-6.413638845
1786168419.740670204,42.100655793,0.000000000,NONE,0,0.049838474,0.000000000,3.999999951,0.000000000,0.000961306,0.448758961,-0.073639978,-0.000961306,3.551240990,0.073639978,-0.225850014,2.987809730,-0.184895093,-0.182568944,2.400806654,-0.245483335,-0.043281070,0.587003075,0.060588242,-5.034381589,450.000000000,16.272775652,-0.075117796,-0.328478878,9.314211982,-113.569957598,116.087148393,-111.430042402,108.912851607,-8.136387826,-8.136387826
1786168419.790671110,42.150656704,0.000000000,NONE,0,0.050003975,0.000000000,3.999999951,0.000000000,0.000466039,0.570234839,-0.074877575,-0.000466039,3.429765112,0.074877575,-0.270100776,2.984219727,-0.184643323,-0.229601811,2.408237533,-0.271957151,-0.040498965,0.575982194,0.087313829,-5.859897625,450.000000000,17.650463634,-0.090066636,-0.274698009,9.981317844,-113.530355055,116.460303867,-111.469644945,108.539696133,-8.825231817,-8.825231817
1786168419.840638161,42.200623901,0.000000000,NONE,0,0.049961431,0.000000000,3.999999951,0.000000000,-0.000496203,0.692161166,-0.076554645,0.000496203,3.307838785,0.076554645,-0.305670092,2.981931124,-0.166850075,-0.269761765,2.411977808,-0.262509146,-0.035908327,0.569953316,0.095659071,-6.526082784,450.000000000,17.869584655,-0.102278035,-0.220402392,10.425493549,-113.474852691,116.737894083,-111.525147309,108.262105917,-8.934792328,-8.934792328
1786168419.890658855,42.250644483,0.000000000,NONE,0,0.050034418,0.000000000,3.999999951,0.000000000,-0.001913628,0.814323790,-0.077936010,0.001913628,3.185676161,0.077936011,-0.332668643,2.980637339,-0.137110096,-0.302612280,2.414996351,-0.231975403,-0.030056363,0.565640988,0.094865307,-6.972787278,450.000000000,17.633496401,-0.111792908,-0.167904673,10.672893175,-113.425026474,116.911420113,-111.574973526,108.088579887,-8.816748200,-8.816748200
1786168419.940705299,42.300690841,0.000000000,NONE,0,0.050051044,0.000000000,3.999999951,0.000000000,-0.003745302,0.936625637,-0.078779506,0.003745302,3.063374314,0.078779506,-0.351514456,2.979921973,-0.102306397,-0.328047741,2.417348743,-0.194158852,-0.023466715,0.562573229,0.091852455,-7.178393896,450.000000000,17.380564210,-0.118748320,-0.118732119,10.749487550,-113.392773414,116.981970362,-111.607226586,108.018029638,-8.690282105,-8.690282105
