wall_time_unix_sec,elapsed_sec,ros_time_sec,event,logger_queue_overflow,control_dt_sec,target_position_x,target_position_y,target_position_z,current_position_x,current_position_y,current_position_z,position_error_x,position_error_y,position_error_z,target_velocity_x,target_velocity_y,target_velocity_z,current_velocity_x,current_velocity_y,current_velocity_z,velocity_error_x,velocity_error_y,velocity_error_z,body_command_x,body_command_y,body_command_z,yaw,yaw_rate,yaw_command,motor1_command,motor2_command,motor3_command,motor4_command,motor5_command,motor6_command
1786024655.100367785,28.050322233,0.000000000,TARGET_UPDATED,0,0.050000000,-0.000000000,-2.988302963,-0.000004731,0.000133320,-0.000000000,-0.089959791,-0.000133320,-2.988302963,0.089955060,-0.000134193,-2.999999997,0.134932590,0.000004444,-0.000000000,-0.005790451,-0.000138637,-2.999999997,0.140723042,-0.008322561,-450.000000000,20.854130984,0.000000000,0.000000000,0.000000000,112.502080640,-112.497919360,112.497919360,-112.502080640,-10.427065492,-10.427065492
1786024655.150347233,28.100301613,0.000000000,NONE,0,0.049948997,-0.000000000,-2.988302963,-0.000004731,-0.000135990,-0.023124217,-0.088693528,0.000135990,-2.965178746,0.088688798,-0.020167338,-3.001857636,0.078369905,-0.011507912,-1.016144020,0.048020949,-0.008659426,-1.985713616,0.030348956,-0.709777421,-450.000000000,10.918967199,0.006769820,0.249629778,-3.038559678,113.437084275,-113.082195564,111.562915725,-111.917804436,-5.459483599,-5.459483599
1786024655.200947046,28.150901371,0.000000000,NONE,0,0.050575769,-0.000000000,-2.988302963,-0.000004731,-0.000136401,-0.104782665,-0.083192397,0.000136401,-2.883520299,0.083187666,-0.072509127,-3.001500261,-0.036180552,-0.039462392,-1.945897829,0.030003442,-0.033046735,-1.055602432,-0.066183994,-2.716861676,-450.000000000,4.461042929,0.024146413,0.391008048,-5.844912296,114.640443493,-113.282012655,110.359556507,-111.717987345,-2.230521465,-2.230521465
1786024655.250266075,28.200220553,0.000000000,NONE,0,0.049346973,-0.000000000,-2.988302963,-0.000004731,0.000245867,-0.213599069,-0.077073429,-0.000245867,-2.774703894,0.077068698,-0.134116881,-2.996923081,-0.117595811,-0.089486261,-2.281270888,-0.069030551,-0.044630619,-0.715652193,-0.048565260,-3.772809817,-450.000000000,7.958873731,0.044467223,0.406249761,-7.627382802,115.350048155,-113.463643246,109.649951845,-111.536356754,-3.979436866,-3.979436866
1786024655.300440073,28.250394387,0.000000000,TARGET_UPDATED,0,0.050166240,-0.000000000,-3.988302963,-0.000004731,0.000563351,-0.331317557,-0.073828236,-0.000563351,-3.656985406,0.073823505,-0.191972498,-2.991395936,-0.164192604,-0.143862107,-2.376149266,-0.178329799,-0.048110391,-0.615246671,0.014137195,-4.717417457,-450.000000000,13.241255788,0.063616743,0.367774963,-8.780979236,115.874599173,-113.515890445,109.125400827,-111.484109555,-6.620627894,-6.620627894
1786024655.350337505,28.300291939,0.000000000,NONE,0,0.049901492,-0.000000000,-3.988302963,-0.000004731,0.000560313,-0.451846093,-0.073594448,-0.000560313,-3.536456870,0.073589717,-0.242015761,-2.986532893,-0.185025413,-0.193845115,-2.400970918,-0.249784260,-0.048170646,-0.585561975,0.064758847,-5.690127247,-450.000000000,16.550925393,0.080232468,0.313721870,-9.577713768,116.316960254,-113.471896630,108.683039746,-111.528103370,-8.275462696,-8.275462696
1786024655.400329828,28.350283922,0.000000000,NONE,0,0.049989768,-0.000000000,-3.988302963,-0.000004731,0.000146047,-0.573389562,-0.074991782,-0.000146047,-3.414913401,0.074987052,-0.283367315,-2.982895156,-0.186256102,-0.237344992,-2.408356501,-0.275732016,-0.046022323,-0.574538655,0.089475914,-6.554589671,-450.000000000,17.763367433,0.094079156,0.258288350,-10.140519614,116.673777321,-113.396482486,108.326222679,-111.603517514,-8.881683716,-8.881683716
1786024655.450251818,28.400206091,0.000000000,NONE,0,0.049928838,-0.000000000,-3.988302963,-0.000004731,-0.000702593,-0.695371541,-0.076700713,0.000702593,-3.292931422,0.076695982,-0.316134002,-2.980648872,-0.170372277,-0.274126716,-2.412143284,-0.265520877,-0.042007286,-0.568505588,0.095148600,-7.214382925,-450.000000000,17.782003660,0.105215390,0.204452994,-10.503571330,116.929488564,-113.322297101,108.070511436,-111.677702899,-8.891001830,-8.891001830
1786024655.500499249,28.450453636,0.000000000,NONE,0,0.050248005,-0.000000000,-3.988302963,-0.000004731,-0.001974606,-0.817575751,-0.078013189,0.001974606,-3.170727212,0.078008459,-0.340677029,-2.979492190,-0.142328564,-0.304111411,-2.415187989,-0.235017636,-0.036565617,-0.564304202,0.092689072,-7.629919209,-450.000000000,17.449602265,0.113778169,0.153429630,-10.689794262,117.079928368,-113.264968763,107.920071632,-111.735031237,-8.724801133,-8.724801133
1786024655.550492525,28.500446707,0.000000000,NONE,0,0.049977876,-0.000000000,-3.988302963,-0.000004731,-0.003631609,-0.939905716,-0.078752617,0.003631609,-3.048397248,0.078747887,-0.357543786,-2.978975463,-0.108721649,-0.327234841,-2.417539864,-0.198067148,-0.030308946,-0.561435599,0.089345499,-7.800183367,-450.000000000,17.199831485,0.119957983,0.106429185,-10.726165417,117.131587196,-113.231495512,107.868412804,-111.768504488,-8.599915743,-8.599915743
